Target device: xilinx_u250_gen3x16_xdma_shell_4_1-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
15392.5,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15413.4,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15433.9,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15454.5,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15475.5,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15496.4,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15516.8,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15537.2,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15557.7,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
15578.1,1046,12238,1349,12158,12120,851,0,3348,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
